event	flair	bambu	rnabloom	isotools	annotation	gene	species	type	longest_annotation
ENSG00000107643_4_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_4_alternative	T	T	T	T	T	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_5_canonical	T	T	T	F	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_5_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_6_canonical	T	T	T	F	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_6_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_7_canonical	T	T	T	F	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_7_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_8_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_8_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_9_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_9_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_10_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_10_alternative	F	F	F	T	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_11_canonical	T	T	T	F	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_11_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_12_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_12_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_13_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_13_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_14_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_14_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_15_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_15_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_16_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_16_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000107643_17_canonical	T	T	T	T	T	ENSG00000107643	homo_sapiens	canonical	T
ENSG00000107643_17_alternative	F	F	T	F	F	ENSG00000107643	homo_sapiens	alternative	T
ENSG00000187122_1_canonical	F	F	T	F	T	ENSG00000187122	homo_sapiens	canonical	T
ENSG00000187122_1_alternative	F	F	T	F	T	ENSG00000187122	homo_sapiens	alternative	T
ENSG00000187122_2_canonical	F	F	T	F	T	ENSG00000187122	homo_sapiens	canonical	T
ENSG00000187122_2_alternative	F	F	T	F	T	ENSG00000187122	homo_sapiens	alternative	T
ENSG00000187122_3_canonical	F	F	T	F	T	ENSG00000187122	homo_sapiens	canonical	T
ENSG00000187122_3_alternative	F	F	T	F	F	ENSG00000187122	homo_sapiens	alternative	T
ENSG00000187122_4_canonical	F	F	T	F	T	ENSG00000187122	homo_sapiens	canonical	T
ENSG00000187122_4_alternative	F	F	T	F	F	ENSG00000187122	homo_sapiens	alternative	T
ENSG00000128641_1_canonical	T	T	T	T	T	ENSG00000128641	homo_sapiens	canonical	T
ENSG00000128641_1_alternative	T	T	T	T	T	ENSG00000128641	homo_sapiens	alternative	T
ENSG00000128641_2_canonical	T	T	T	T	T	ENSG00000128641	homo_sapiens	canonical	T
ENSG00000128641_2_alternative	T	T	T	T	T	ENSG00000128641	homo_sapiens	alternative	T
ENSG00000128641_3_canonical	T	T	T	T	T	ENSG00000128641	homo_sapiens	canonical	T
ENSG00000128641_3_alternative	F	F	T	F	F	ENSG00000128641	homo_sapiens	alternative	T
ENSG00000128641_4_canonical	T	T	T	T	T	ENSG00000128641	homo_sapiens	canonical	T
ENSG00000128641_4_alternative	F	F	T	F	F	ENSG00000128641	homo_sapiens	alternative	T
ENSG00000128641_5_canonical	T	T	T	T	T	ENSG00000128641	homo_sapiens	canonical	T
ENSG00000128641_5_alternative	F	F	T	F	F	ENSG00000128641	homo_sapiens	alternative	T
ENSG00000128641_6_canonical	T	T	T	T	T	ENSG00000128641	homo_sapiens	canonical	T
ENSG00000128641_6_alternative	F	F	T	F	F	ENSG00000128641	homo_sapiens	alternative	T
ENSG00000128641_7_canonical	T	T	T	T	T	ENSG00000128641	homo_sapiens	canonical	T
ENSG00000128641_7_alternative	F	F	T	F	F	ENSG00000128641	homo_sapiens	alternative	T
